/Volumes/FAT32_FORMA/Thesis/short_video/frames_with_edges/video1_xuxin_vs_zhangjike_kuwait_2015/frame_00050.jpg
s_index: 50 	f_index: 1171 	Manhattan norm: 8910062.0 	Per pixel: 38.6721440972
s_index: 50 	f_index: 1172 	Manhattan norm: 8864882.0 	Per pixel: 38.4760503472
s_index: 50 	f_index: 1173 	Manhattan norm: 8878086.0 	Per pixel: 38.533359375
s_index: 50 	f_index: 1174 	Manhattan norm: 9895134.0 	Per pixel: 42.9476302083
s_index: 50 	f_index: 1175 	Manhattan norm: 10085830.0 	Per pixel: 43.7753038194
s_index: 50 	f_index: 1176 	Manhattan norm: 10059702.0 	Per pixel: 43.6619010417
s_index: 50 	f_index: 1177 	Manhattan norm: 10007885.0 	Per pixel: 43.4370008681
s_index: 50 	f_index: 1178 	Manhattan norm: 9294614.0 	Per pixel: 40.3412065972
s_index: 50 	f_index: 1179 	Manhattan norm: 8615738.0 	Per pixel: 37.3946961806
s_index: 50 	f_index: 1180 	Manhattan norm: 4496997.0 	Per pixel: 19.5182161458
s_index: 50 	f_index: 1181 	Manhattan norm: 4462926.0 	Per pixel: 19.3703385417
s_index: 50 	f_index: 1182 	Manhattan norm: 4472106.0 	Per pixel: 19.4101822917
s_index: 50 	f_index: 1183 	Manhattan norm: 4482612.0 	Per pixel: 19.45578125
s_index: 50 	f_index: 1184 	Manhattan norm: 4473017.0 	Per pixel: 19.4141362847
s_index: 50 	f_index: 1185 	Manhattan norm: 4468241.0 	Per pixel: 19.3934071181
s_index: 50 	f_index: 1186 	Manhattan norm: 4477849.0 	Per pixel: 19.4351085069
s_index: 50 	f_index: 1187 	Manhattan norm: 4462530.0 	Per pixel: 19.3686197917
s_index: 50 	f_index: 1188 	Manhattan norm: 4496679.0 	Per pixel: 19.5168359375
s_index: 50 	f_index: 1189 	Manhattan norm: 4477764.0 	Per pixel: 19.4347395833
s_index: 50 	f_index: 1190 	Manhattan norm: 4467938.0 	Per pixel: 19.3920920139
s_index: 50 	f_index: 1191 	Manhattan norm: 10401394.0 	Per pixel: 45.1449392361
s_index: 50 	f_index: 1192 	Manhattan norm: 10331107.0 	Per pixel: 44.8398741319
s_index: 50 	f_index: 1193 	Manhattan norm: 10002010.0 	Per pixel: 43.4115017361
s_index: 50 	f_index: 1194 	Manhattan norm: 9833077.0 	Per pixel: 42.6782855903
s_index: 50 	f_index: 1195 	Manhattan norm: 10093836.0 	Per pixel: 43.8100520833
s_index: 50 	f_index: 1196 	Manhattan norm: 4496921.0 	Per pixel: 19.5178862847
s_index: 50 	f_index: 1197 	Manhattan norm: 4439208.0 	Per pixel: 19.2673958333
s_index: 50 	f_index: 1198 	Manhattan norm: 4451483.0 	Per pixel: 19.3206727431
s_index: 50 	f_index: 1199 	Manhattan norm: 4509333.0 	Per pixel: 19.5717578125
s_index: 50 	f_index: 1200 	Manhattan norm: 4465725.0 	Per pixel: 19.3824869792
s_index: 50 	f_index: 1201 	Manhattan norm: 4487988.0 	Per pixel: 19.4791145833
s_index: 50 	f_index: 1202 	Manhattan norm: 4444427.0 	Per pixel: 19.2900477431
s_index: 50 	f_index: 1203 	Manhattan norm: 4430995.0 	Per pixel: 19.2317491319
s_index: 50 	f_index: 1204 	Manhattan norm: 4425358.0 	Per pixel: 19.2072829861
s_index: 50 	f_index: 1205 	Manhattan norm: 4387367.0 	Per pixel: 19.0423914931
s_index: 50 	f_index: 1206 	Manhattan norm: 4457546.0 	Per pixel: 19.3469878472
s_index: 50 	f_index: 1207 	Manhattan norm: 4418904.0 	Per pixel: 19.1792708333
s_index: 50 	f_index: 1208 	Manhattan norm: 4387770.0 	Per pixel: 19.044140625
s_index: 50 	f_index: 1209 	Manhattan norm: 4418403.0 	Per pixel: 19.1770963542
s_index: 50 	f_index: 1210 	Manhattan norm: 4437937.0 	Per pixel: 19.2618793403
s_index: 50 	f_index: 1211 	Manhattan norm: 4487913.0 	Per pixel: 19.4787890625
s_index: 50 	f_index: 1212 	Manhattan norm: 4524683.0 	Per pixel: 19.6383810764
s_index: 50 	f_index: 1213 	Manhattan norm: 4490076.0 	Per pixel: 19.4881770833
s_index: 50 	f_index: 1214 	Manhattan norm: 4515590.0 	Per pixel: 19.5989149306
s_index: 50 	f_index: 1215 	Manhattan norm: 4430102.0 	Per pixel: 19.2278732639
s_index: 50 	f_index: 1216 	Manhattan norm: 4388021.0 	Per pixel: 19.0452300347
s_index: 50 	f_index: 1217 	Manhattan norm: 4414821.0 	Per pixel: 19.1615494792
