/Volumes/FAT32_FORMA/Thesis/short_video/frames/video1_xuxin_vs_zhangjike_kuwait_2015/frame_00050.jpg
s_index: 50 	f_index: 1174 	Manhattan norm: 14162071.2099 	Per pixel: 61.4673229595
s_index: 50 	f_index: 1175 	Manhattan norm: 14356682.2382 	Per pixel: 62.3119888812
s_index: 50 	f_index: 1176 	Manhattan norm: 14192709.8953 	Per pixel: 61.600303365
s_index: 50 	f_index: 1177 	Manhattan norm: 14059500.8901 	Per pixel: 61.02213928
s_index: 50 	f_index: 1178 	Manhattan norm: 14097572.6351 	Per pixel: 61.1873812287
s_index: 50 	f_index: 1179 	Manhattan norm: 14698746.5598 	Per pixel: 63.7966430548
s_index: 50 	f_index: 1180 	Manhattan norm: 4280134.54204 	Per pixel: 18.5769728387
s_index: 50 	f_index: 1181 	Manhattan norm: 4207862.00164 	Per pixel: 18.2632899377
s_index: 50 	f_index: 1182 	Manhattan norm: 4170133.02453 	Per pixel: 18.0995356967
s_index: 50 	f_index: 1183 	Manhattan norm: 4174093.24979 	Per pixel: 18.1167241744
s_index: 50 	f_index: 1184 	Manhattan norm: 4172457.21078 	Per pixel: 18.1096233107
s_index: 50 	f_index: 1185 	Manhattan norm: 4172876.72728 	Per pixel: 18.1114441288
s_index: 50 	f_index: 1186 	Manhattan norm: 4160777.40571 	Per pixel: 18.0589297123
s_index: 50 	f_index: 1187 	Manhattan norm: 4153852.88703 	Per pixel: 18.0288753778
s_index: 50 	f_index: 1188 	Manhattan norm: 4208783.18281 	Per pixel: 18.2672881198
s_index: 50 	f_index: 1189 	Manhattan norm: 4191454.2788 	Per pixel: 18.1920758628
s_index: 50 	f_index: 1190 	Manhattan norm: 4173790.23342 	Per pixel: 18.1154089992
s_index: 50 	f_index: 1191 	Manhattan norm: 18527652.3211 	Per pixel: 80.4151576437
s_index: 50 	f_index: 1192 	Manhattan norm: 18911661.1257 	Per pixel: 82.0818625245
s_index: 50 	f_index: 1193 	Manhattan norm: 19242821.3425 	Per pixel: 83.5191898545
s_index: 50 	f_index: 1194 	Manhattan norm: 18589607.2487 	Per pixel: 80.6840592391
s_index: 50 	f_index: 1195 	Manhattan norm: 17732695.9138 	Per pixel: 76.9648260149
s_index: 50 	f_index: 1196 	Manhattan norm: 4418384.98819 	Per pixel: 19.1770181779
s_index: 50 	f_index: 1197 	Manhattan norm: 4281309.81675 	Per pixel: 18.5820738574
s_index: 50 	f_index: 1198 	Manhattan norm: 4335553.61359 	Per pixel: 18.8175070034
s_index: 50 	f_index: 1199 	Manhattan norm: 4357666.58671 	Per pixel: 18.9134834493
s_index: 50 	f_index: 1200 	Manhattan norm: 4402178.02805 	Per pixel: 19.106675469
s_index: 50 	f_index: 1201 	Manhattan norm: 4353265.90977 	Per pixel: 18.8943832889
s_index: 50 	f_index: 1202 	Manhattan norm: 4390955.97906 	Per pixel: 19.0579686591
s_index: 50 	f_index: 1203 	Manhattan norm: 4306427.09672 	Per pixel: 18.6910898295
s_index: 50 	f_index: 1204 	Manhattan norm: 4002767.73173 	Per pixel: 17.3731238356
s_index: 50 	f_index: 1205 	Manhattan norm: 3988763.037 	Per pixel: 17.3123395703
s_index: 50 	f_index: 1206 	Manhattan norm: 4172180.40946 	Per pixel: 18.108421916
s_index: 50 	f_index: 1207 	Manhattan norm: 4025214.38482 	Per pixel: 17.4705485452
s_index: 50 	f_index: 1208 	Manhattan norm: 3898069.22918 	Per pixel: 16.9187032517
s_index: 50 	f_index: 1209 	Manhattan norm: 3963961.77389 	Per pixel: 17.2046951992
s_index: 50 	f_index: 1210 	Manhattan norm: 3974889.26702 	Per pixel: 17.2521235548
s_index: 50 	f_index: 1211 	Manhattan norm: 4093537.14034 	Per pixel: 17.7670882827
s_index: 50 	f_index: 1212 	Manhattan norm: 4198921.99575 	Per pixel: 18.2244878288
s_index: 50 	f_index: 1213 	Manhattan norm: 4118387.92297 	Per pixel: 17.8749475824
